customer_id,signup_quarter,churn_quarter,plan_tier,industry,arr_usd,tenure_months
C01001,2025Q1,2025Q4,Starter,SaaS,1200,9
C01002,2025Q2,active,Starter,Finance,1200,15
C01003,2025Q1,active,Starter,Manufacturing,1200,18
C01004,2025Q2,active,Pro,Manufacturing,8400,15
C01005,2025Q2,2025Q4,Starter,Healthcare,1200,6
C01006,2025Q2,active,Pro,SaaS,8400,15
C01007,2025Q1,active,Pro,Finance,8400,18
C01008,2025Q2,active,Starter,Manufacturing,1200,15
C01009,2025Q1,active,Starter,Finance,1200,18
C01010,2025Q3,active,Pro,Finance,8400,12
C01011,2025Q1,active,Enterprise,SaaS,48000,18
C01012,2025Q1,2025Q2,Starter,Retail,1200,3
C01013,2025Q1,2026Q1,Pro,SaaS,8400,12
C01014,2025Q2,active,Starter,Retail,1200,15
C01015,2025Q2,active,Starter,Retail,1200,15
C01016,2025Q2,active,Starter,Manufacturing,1200,15
C01017,2025Q2,2026Q2,Starter,SaaS,1200,12
C01018,2025Q3,active,Starter,Retail,1200,12
C01019,2025Q1,active,Enterprise,Finance,48000,18
C01020,2025Q2,active,Pro,SaaS,8400,15
C01021,2025Q1,2026Q2,Pro,Finance,8400,15
C01022,2025Q3,active,Starter,Healthcare,1200,12
C01023,2025Q3,active,Starter,Retail,1200,12
C01024,2025Q2,2026Q2,Pro,Retail,8400,12
C01025,2025Q3,active,Starter,Manufacturing,1200,12
C01026,2025Q2,2026Q1,Starter,Healthcare,1200,9
C01027,2025Q2,active,Pro,Manufacturing,8400,15
C01028,2025Q2,active,Starter,Healthcare,1200,15
C01029,2025Q2,active,Pro,Healthcare,8400,15
C01030,2025Q1,2026Q2,Pro,SaaS,8400,15
C01031,2025Q1,active,Enterprise,Healthcare,48000,18
C01032,2025Q1,active,Pro,Retail,8400,18
C01033,2025Q1,active,Starter,Healthcare,1200,18
C01034,2025Q1,active,Pro,Finance,8400,18
C01035,2025Q2,active,Starter,Retail,1200,15
C01036,2025Q3,2025Q4,Starter,Finance,1200,3
C01037,2025Q1,active,Pro,Manufacturing,8400,18
C01038,2025Q3,active,Starter,SaaS,1200,12
C01039,2025Q3,active,Pro,SaaS,8400,12
C01040,2025Q3,active,Pro,Finance,8400,12
C01041,2025Q3,active,Starter,SaaS,1200,12
C01042,2025Q2,active,Enterprise,Healthcare,48000,15
C01043,2025Q3,active,Starter,Healthcare,1200,12
C01044,2025Q3,active,Starter,Manufacturing,1200,12
C01045,2025Q2,active,Starter,Retail,1200,15
C01046,2025Q1,2025Q3,Starter,SaaS,1200,6
C01047,2025Q3,active,Pro,Finance,8400,12
C01048,2025Q2,active,Starter,Healthcare,1200,15
C01049,2025Q1,active,Starter,Finance,1200,18
C01050,2025Q3,active,Starter,Healthcare,1200,12
C01051,2025Q3,active,Pro,Retail,8400,12
C01052,2025Q2,active,Enterprise,Finance,48000,15
C01053,2025Q1,active,Pro,Manufacturing,8400,18
C01054,2025Q3,active,Pro,Finance,8400,12
C01055,2025Q3,active,Enterprise,Healthcare,48000,12
C01056,2025Q1,active,Pro,SaaS,8400,18
C01057,2025Q3,active,Starter,Healthcare,1200,12
C01058,2025Q1,active,Starter,Manufacturing,1200,18
C01059,2025Q1,active,Starter,Manufacturing,1200,18
C01060,2025Q1,active,Pro,Finance,8400,18
C01061,2025Q1,active,Starter,SaaS,1200,18
C01062,2025Q1,2025Q4,Starter,Manufacturing,1200,9
C01063,2025Q2,2025Q4,Pro,Retail,8400,6
C01064,2025Q1,active,Starter,Manufacturing,1200,18
C01065,2025Q2,2026Q1,Starter,Retail,1200,9
C01066,2025Q1,2025Q4,Starter,Finance,1200,9
C01067,2025Q1,active,Pro,Retail,8400,18
C01068,2025Q1,active,Starter,Healthcare,1200,18
C01069,2025Q1,2026Q2,Pro,Retail,8400,15
C01070,2025Q2,2026Q1,Enterprise,Finance,48000,9
C01071,2025Q3,active,Pro,Finance,8400,12
C01072,2025Q3,active,Starter,Retail,1200,12
