month,channel,user_type,visits,signups,conversions
2026-01-01,paid_search,new,15518,1465,835
2026-01-01,paid_search,returning,10260,2873,1342
2026-01-01,organic,new,10359,819,534
2026-01-01,organic,returning,6897,1875,1032
2026-01-01,email,new,4700,420,248
2026-01-01,email,returning,3333,766,446
2026-01-01,referral,new,3006,223,143
2026-01-01,referral,returning,1910,561,274
2026-02-01,paid_search,new,14896,1423,877
2026-02-01,paid_search,returning,10801,3244,1526
2026-02-01,organic,new,9989,942,576
2026-02-01,organic,returning,7904,1525,971
2026-02-01,email,new,4704,388,245
2026-02-01,email,returning,3427,944,471
2026-02-01,referral,new,2751,269,161
2026-02-01,referral,returning,2044,580,285
2026-03-01,paid_search,new,13517,1386,748
2026-03-01,paid_search,returning,10990,1967,1283
2026-03-01,organic,new,9385,1112,529
2026-03-01,organic,returning,8556,1819,1073
2026-03-01,email,new,4210,376,239
2026-03-01,email,returning,3587,920,454
2026-03-01,referral,new,2583,226,151
2026-03-01,referral,returning,2290,586,297
2026-04-01,paid_search,new,12616,1470,825
2026-04-01,paid_search,returning,12280,3303,1529
2026-04-01,organic,new,9045,1195,597
2026-04-01,organic,returning,9039,2034,1090
2026-04-01,email,new,4042,484,262
2026-04-01,email,returning,4039,856,446
2026-04-01,referral,new,2516,303,158
2026-04-01,referral,returning,2428,486,276
2026-05-01,paid_search,new,11777,1184,784
2026-05-01,paid_search,returning,12916,2284,1425
2026-05-01,organic,new,8955,1326,655
2026-05-01,organic,returning,9499,1659,993
2026-05-01,email,new,3654,440,244
2026-05-01,email,returning,4154,814,446
2026-05-01,referral,new,2491,309,173
2026-05-01,referral,returning,2483,610,287
2026-06-01,paid_search,new,11725,1306,850
2026-06-01,paid_search,returning,13701,2632,1345
2026-06-01,organic,new,8046,1069,612
2026-06-01,organic,returning,9912,2125,987
2026-06-01,email,new,3732,485,278
2026-06-01,email,returning,4265,735,455
2026-06-01,referral,new,2360,331,166
2026-06-01,referral,returning,2686,409,248
