month,island,accommodation_type,tier,origin_market,visitor_arrivals
2024-01-01,Maui,hotel,luxury,US_mainland,15181
2024-01-01,Maui,hotel,luxury,Japan,4116
2024-01-01,Maui,hotel,luxury,Canada,2386
2024-01-01,Maui,hotel,luxury,Europe,1892
2024-01-01,Maui,hotel,luxury,Other,1027
2024-01-01,Maui,hotel,mid_market,US_mainland,33594
2024-01-01,Maui,hotel,mid_market,Japan,10416
2024-01-01,Maui,hotel,mid_market,Canada,5085
2024-01-01,Maui,hotel,mid_market,Europe,4302
2024-01-01,Maui,hotel,mid_market,Other,2014
2024-01-01,Maui,hotel,budget,US_mainland,11345
2024-01-01,Maui,hotel,budget,Japan,3567
2024-01-01,Maui,hotel,budget,Canada,1830
2024-01-01,Maui,hotel,budget,Europe,1508
2024-01-01,Maui,hotel,budget,Other,811
2024-01-01,Maui,vacation_rental,luxury,US_mainland,8158
2024-01-01,Maui,vacation_rental,luxury,Japan,2321
2024-01-01,Maui,vacation_rental,luxury,Canada,1369
2024-01-01,Maui,vacation_rental,luxury,Europe,1133
2024-01-01,Maui,vacation_rental,luxury,Other,497
2024-01-01,Maui,vacation_rental,mid_market,US_mainland,18692
2024-01-01,Maui,vacation_rental,mid_market,Japan,5515
2024-01-01,Maui,vacation_rental,mid_market,Canada,2894
2024-01-01,Maui,vacation_rental,mid_market,Europe,2245
2024-01-01,Maui,vacation_rental,mid_market,Other,1275
2024-01-01,Maui,vacation_rental,budget,US_mainland,6311
2024-01-01,Maui,vacation_rental,budget,Japan,1817
2024-01-01,Maui,vacation_rental,budget,Canada,1010
2024-01-01,Maui,vacation_rental,budget,Europe,912
2024-01-01,Maui,vacation_rental,budget,Other,439
2024-01-01,Maui,timeshare,luxury,US_mainland,4249
2024-01-01,Maui,timeshare,luxury,Japan,1260
2024-01-01,Maui,timeshare,luxury,Canada,679
2024-01-01,Maui,timeshare,luxury,Europe,581
2024-01-01,Maui,timeshare,luxury,Other,265
2024-01-01,Maui,timeshare,mid_market,US_mainland,8984
2024-01-01,Maui,timeshare,mid_market,Japan,2814
2024-01-01,Maui,timeshare,mid_market,Canada,1513
2024-01-01,Maui,timeshare,mid_market,Europe,1257
2024-01-01,Maui,timeshare,mid_market,Other,601
2024-01-01,Maui,timeshare,budget,US_mainland,3346
2024-01-01,Maui,timeshare,budget,Japan,901
2024-01-01,Maui,timeshare,budget,Canada,516
2024-01-01,Maui,timeshare,budget,Europe,417
2024-01-01,Maui,timeshare,budget,Other,201
2024-01-01,Oahu,hotel,luxury,US_mainland,33169
2024-01-01,Oahu,hotel,luxury,Japan,9731
2024-01-01,Oahu,hotel,luxury,Canada,5570
2024-01-01,Oahu,hotel,luxury,Europe,4720
2024-01-01,Oahu,hotel,luxury,Other,2260
2024-01-01,Oahu,hotel,mid_market,US_mainland,74647
2024-01-01,Oahu,hotel,mid_market,Japan,21806
2024-01-01,Oahu,hotel,mid_market,Canada,12231
2024-01-01,Oahu,hotel,mid_market,Europe,10874
2024-01-01,Oahu,hotel,mid_market,Other,5202
2024-01-01,Oahu,hotel,budget,US_mainland,28204
2024-01-01,Oahu,hotel,budget,Japan,7878
2024-01-01,Oahu,hotel,budget,Canada,4789
2024-01-01,Oahu,hotel,budget,Europe,3497
2024-01-01,Oahu,hotel,budget,Other,1812
2024-01-01,Oahu,vacation_rental,luxury,US_mainland,20380
2024-01-01,Oahu,vacation_rental,luxury,Japan,5797
2024-01-01,Oahu,vacation_rental,luxury,Canada,3179
2024-01-01,Oahu,vacation_rental,luxury,Europe,2594
2024-01-01,Oahu,vacation_rental,luxury,Other,1329
2024-01-01,Oahu,vacation_rental,mid_market,US_mainland,43416
2024-01-01,Oahu,vacation_rental,mid_market,Japan,11933
2024-01-01,Oahu,vacation_rental,mid_market,Canada,6411
2024-01-01,Oahu,vacation_rental,mid_market,Europe,5380
2024-01-01,Oahu,vacation_rental,mid_market,Other,2669
2024-01-01,Oahu,vacation_rental,budget,US_mainland,14421
2024-01-01,Oahu,vacation_rental,budget,Japan,4857
2024-01-01,Oahu,vacation_rental,budget,Canada,2672
2024-01-01,Oahu,vacation_rental,budget,Europe,1956
2024-01-01,Oahu,vacation_rental,budget,Other,1033
2024-01-01,Oahu,timeshare,luxury,US_mainland,9292
2024-01-01,Oahu,timeshare,luxury,Japan,3023
2024-01-01,Oahu,timeshare,luxury,Canada,1565
2024-01-01,Oahu,timeshare,luxury,Europe,1213
2024-01-01,Oahu,timeshare,luxury,Other,604
2024-01-01,Oahu,timeshare,mid_market,US_mainland,20994
2024-01-01,Oahu,timeshare,mid_market,Japan,6000
2024-01-01,Oahu,timeshare,mid_market,Canada,3512
2024-01-01,Oahu,timeshare,mid_market,Europe,2948
2024-01-01,Oahu,timeshare,mid_market,Other,1364
2024-01-01,Oahu,timeshare,budget,US_mainland,7220
2024-01-01,Oahu,timeshare,budget,Japan,2449
2024-01-01,Oahu,timeshare,budget,Canada,1262
2024-01-01,Oahu,timeshare,budget,Europe,942
2024-01-01,Oahu,timeshare,budget,Other,467
2024-01-01,Kauai,hotel,luxury,US_mainland,6961
2024-01-01,Kauai,hotel,luxury,Japan,2273
2024-01-01,Kauai,hotel,luxury,Canada,1295
2024-01-01,Kauai,hotel,luxury,Europe,978
2024-01-01,Kauai,hotel,luxury,Other,460
2024-01-01,Kauai,hotel,mid_market,US_mainland,16026
2024-01-01,Kauai,hotel,mid_market,Japan,5289
2024-01-01,Kauai,hotel,mid_market,Canada,2735
2024-01-01,Kauai,hotel,mid_market,Europe,2342
2024-01-01,Kauai,hotel,mid_market,Other,1152
2024-01-01,Kauai,hotel,budget,US_mainland,5476
2024-01-01,Kauai,hotel,budget,Japan,1845
2024-01-01,Kauai,hotel,budget,Canada,1019
2024-01-01,Kauai,hotel,budget,Europe,797
2024-01-01,Kauai,hotel,budget,Other,381
2024-01-01,Kauai,vacation_rental,luxury,US_mainland,4141
2024-01-01,Kauai,vacation_rental,luxury,Japan,1139
2024-01-01,Kauai,vacation_rental,luxury,Canada,668
2024-01-01,Kauai,vacation_rental,luxury,Europe,536
2024-01-01,Kauai,vacation_rental,luxury,Other,290
2024-01-01,Kauai,vacation_rental,mid_market,US_mainland,9446
2024-01-01,Kauai,vacation_rental,mid_market,Japan,2572
2024-01-01,Kauai,vacation_rental,mid_market,Canada,1485
2024-01-01,Kauai,vacation_rental,mid_market,Europe,1127
2024-01-01,Kauai,vacation_rental,mid_market,Other,633
2024-01-01,Kauai,vacation_rental,budget,US_mainland,3432
2024-01-01,Kauai,vacation_rental,budget,Japan,941
2024-01-01,Kauai,vacation_rental,budget,Canada,552
2024-01-01,Kauai,vacation_rental,budget,Europe,440
2024-01-01,Kauai,vacation_rental,budget,Other,204
2024-01-01,Kauai,timeshare,luxury,US_mainland,2110
2024-01-01,Kauai,timeshare,luxury,Japan,611
2024-01-01,Kauai,timeshare,luxury,Canada,353
2024-01-01,Kauai,timeshare,luxury,Europe,271
2024-01-01,Kauai,timeshare,luxury,Other,124
2024-01-01,Kauai,timeshare,mid_market,US_mainland,4330
2024-01-01,Kauai,timeshare,mid_market,Japan,1234
2024-01-01,Kauai,timeshare,mid_market,Canada,793
2024-01-01,Kauai,timeshare,mid_market,Europe,630
2024-01-01,Kauai,timeshare,mid_market,Other,313
2024-01-01,Kauai,timeshare,budget,US_mainland,1570
2024-01-01,Kauai,timeshare,budget,Japan,452
2024-01-01,Kauai,timeshare,budget,Canada,286
2024-01-01,Kauai,timeshare,budget,Europe,231
2024-01-01,Kauai,timeshare,budget,Other,101
2024-01-01,Hawaii,hotel,luxury,US_mainland,9878
2024-01-01,Hawaii,hotel,luxury,Japan,2765
2024-01-01,Hawaii,hotel,luxury,Canada,1719
2024-01-01,Hawaii,hotel,luxury,Europe,1376
2024-01-01,Hawaii,hotel,luxury,Other,621
2024-01-01,Hawaii,hotel,mid_market,US_mainland,21694
2024-01-01,Hawaii,hotel,mid_market,Japan,6586
2024-01-01,Hawaii,hotel,mid_market,Canada,3494
2024-01-01,Hawaii,hotel,mid_market,Europe,3077
2024-01-01,Hawaii,hotel,mid_market,Other,1434
2024-01-01,Hawaii,hotel,budget,US_mainland,7555
2024-01-01,Hawaii,hotel,budget,Japan,2391
2024-01-01,Hawaii,hotel,budget,Canada,1369
2024-01-01,Hawaii,hotel,budget,Europe,1006
2024-01-01,Hawaii,hotel,budget,Other,512
2024-01-01,Hawaii,vacation_rental,luxury,US_mainland,5828
2024-01-01,Hawaii,vacation_rental,luxury,Japan,1659
2024-01-01,Hawaii,vacation_rental,luxury,Canada,891
2024-01-01,Hawaii,vacation_rental,luxury,Europe,722
2024-01-01,Hawaii,vacation_rental,luxury,Other,338
2024-01-01,Hawaii,vacation_rental,mid_market,US_mainland,11357
2024-01-01,Hawaii,vacation_rental,mid_market,Japan,3472
2024-01-01,Hawaii,vacation_rental,mid_market,Canada,2008
2024-01-01,Hawaii,vacation_rental,mid_market,Europe,1516
2024-01-01,Hawaii,vacation_rental,mid_market,Other,757
2024-01-01,Hawaii,vacation_rental,budget,US_mainland,4023
2024-01-01,Hawaii,vacation_rental,budget,Japan,1323
2024-01-01,Hawaii,vacation_rental,budget,Canada,689
2024-01-01,Hawaii,vacation_rental,budget,Europe,613
2024-01-01,Hawaii,vacation_rental,budget,Other,305
2024-01-01,Hawaii,timeshare,luxury,US_mainland,2515
2024-01-01,Hawaii,timeshare,luxury,Japan,776
2024-01-01,Hawaii,timeshare,luxury,Canada,462
2024-01-01,Hawaii,timeshare,luxury,Europe,344
2024-01-01,Hawaii,timeshare,luxury,Other,169
2024-01-01,Hawaii,timeshare,mid_market,US_mainland,6354
2024-01-01,Hawaii,timeshare,mid_market,Japan,1802
2024-01-01,Hawaii,timeshare,mid_market,Canada,986
2024-01-01,Hawaii,timeshare,mid_market,Europe,828
2024-01-01,Hawaii,timeshare,mid_market,Other,415
2024-01-01,Hawaii,timeshare,budget,US_mainland,2053
2024-01-01,Hawaii,timeshare,budget,Japan,606
2024-01-01,Hawaii,timeshare,budget,Canada,356
2024-01-01,Hawaii,timeshare,budget,Europe,284
2024-01-01,Hawaii,timeshare,budget,Other,143
2024-02-01,Maui,hotel,luxury,US_mainland,15394
2024-02-01,Maui,hotel,luxury,Japan,4579
2024-02-01,Maui,hotel,luxury,Canada,2667
2024-02-01,Maui,hotel,luxury,Europe,1853
2024-02-01,Maui,hotel,luxury,Other,975
2024-02-01,Maui,hotel,mid_market,US_mainland,31830
2024-02-01,Maui,hotel,mid_market,Japan,10368
2024-02-01,Maui,hotel,mid_market,Canada,5226
2024-02-01,Maui,hotel,mid_market,Europe,4140
2024-02-01,Maui,hotel,mid_market,Other,2160
2024-02-01,Maui,hotel,budget,US_mainland,11732
2024-02-01,Maui,hotel,budget,Japan,3438
2024-02-01,Maui,hotel,budget,Canada,1901
2024-02-01,Maui,hotel,budget,Europe,1691
2024-02-01,Maui,hotel,budget,Other,785
2024-02-01,Maui,vacation_rental,luxury,US_mainland,8568
2024-02-01,Maui,vacation_rental,luxury,Japan,2450
2024-02-01,Maui,vacation_rental,luxury,Canada,1253
2024-02-01,Maui,vacation_rental,luxury,Europe,1166
2024-02-01,Maui,vacation_rental,luxury,Other,569
2024-02-01,Maui,vacation_rental,mid_market,US_mainland,19157
2024-02-01,Maui,vacation_rental,mid_market,Japan,5711
2024-02-01,Maui,vacation_rental,mid_market,Canada,3136
